iso,country_name,min_year,max_year,level
AFG,afghanistan,1961,2010,adm0
AGO,angola,1961,2010,adm0
ALB,albania,1961,2010,adm0
ARE,united_arab_emirates,1961,2010,adm0
ARG,argentina,1961,2010,adm0
ASM,american_samoa,1961,2010,adm0
ATG,antigua_and_barbuda,1961,2010,adm0
AUS,australia,1961,2010,adm0
AUT,austria,1961,2010,adm0
BDI,burundi,1961,2010,adm0
BEN,benin,1961,2010,adm0
BFA,burkina_faso,1961,2010,adm0
BGD,bangladesh,1961,2010,adm0
BGR,bulgaria,1961,2010,adm0
BHS,bahamas,1961,2010,adm0
BL,belgium-luxembourg,1961,2010,adm0
BLZ,belize,1961,2010,adm0
BOL,bolivia,1961,2010,adm0
BRA,brazil,1961,2010,adm0
BRB,barbados,1961,2010,adm0
BRN,brunei_darussalam,1961,2010,adm0
BTN,bhutan,1961,2010,adm0
BWA,botswana,1961,2010,adm0
CAF,central_african_republic,1961,2010,adm0
CAN,canada,1961,2010,adm0
CHE,switzerland,1961,2010,adm0
CHL,chile,1961,2010,adm0
CHN,china,1961,2010,adm0
CIV,côte_d'ivoire,1961,2010,adm0
CMR,cameroon,1961,2010,adm0
COD,democratic_republic_of_the_congo,1961,2010,adm0
COG,congo,1961,2010,adm0
COK,cook_islands,1961,2010,adm0
COL,colombia,1961,2010,adm0
COM,comoros,1961,2010,adm0
CPV,cabo_verde,1961,2010,adm0
CRI,costa_rica,1961,2010,adm0
CS,czechoslovakia,1961,2010,adm0
CUB,cuba,1961,2010,adm0
CYM,cayman_islands,1961,2010,adm0
CYP,cyprus,1961,2010,adm0
DEU,germany,1961,2010,adm0
DJI,djibouti,1961,2010,adm0
DMA,dominica,1961,2010,adm0
DNK,denmark,1961,2010,adm0
DOM,dominican_republic,1961,2010,adm0
DZA,algeria,1961,2010,adm0
ECU,ecuador,1961,2010,adm0
EGY,egypt,1961,2010,adm0
ESP,spain,1961,2010,adm0
ETH,ethiopia_pdr,1961,2010,adm0
FIN,finland,1961,2010,adm0
FJI,fiji,1961,2010,adm0
FRA,france,1961,2010,adm0
FSM,micronesia,1961,2010,adm0
GAB,gabon,1961,2010,adm0
GBR,united_kingdom,1961,2010,adm0
GHA,ghana,1961,2010,adm0
GIN,guinea,1961,2010,adm0
GLP,guadeloupe,1961,2010,adm0
GMB,gambia,1961,2010,adm0
GNB,guinea-bissau,1961,2010,adm0
GNQ,equatorial_guinea,1961,2010,adm0
GRC,greece,1961,2010,adm0
GRD,grenada,1961,2010,adm0
GTM,guatemala,1961,2010,adm0
GUF,french_guiana,1961,2010,adm0
GUM,guam,1961,2010,adm0
GUY,guyana,1961,2010,adm0
HKG,"china,_hong_kong_sar",1961,2010,adm0
HND,honduras,1961,2010,adm0
HTI,haiti,1961,2010,adm0
HUN,hungary,1961,2010,adm0
IDN,indonesia,1961,2010,adm0
IND,india,1961,2010,adm0
IRL,ireland,1961,2010,adm0
IRN,iran_(islamic_republic_of),1961,2010,adm0
IRQ,iraq,1961,2010,adm0
ISR,israel,1961,2010,adm0
ITA,italy,1961,2010,adm0
JAM,jamaica,1961,2010,adm0
JOR,jordan,1961,2010,adm0
JPN,japan,1961,2010,adm0
KEN,kenya,1961,2010,adm0
KHM,cambodia,1961,2010,adm0
KNA,saint_kitts_and_nevis,1961,2010,adm0
KOR,republic_of_korea,1961,2010,adm0
KWT,kuwait,1961,2010,adm0
LAO,lao_pdr,1961,2010,adm0
LBN,lebanon,1961,2010,adm0
LBR,liberia,1961,2010,adm0
LBY,libya,1961,2010,adm0
LCA,saint_lucia,1961,2010,adm0
LKA,sri_lanka,1961,2010,adm0
LSO,lesotho,1961,2010,adm0
MAR,morocco,1961,2010,adm0
MDG,madagascar,1961,2010,adm0
MDV,maldives,1961,2010,adm0
MEX,mexico,1961,2010,adm0
MLI,mali,1961,2010,adm0
MLT,malta,1961,2010,adm0
MMR,myanmar,1961,2010,adm0
MNG,mongolia,1961,2010,adm0
MOZ,mozambique,1961,2010,adm0
MRT,mauritania,1961,2010,adm0
MSR,montserrat,1961,2010,adm0
MTQ,martinique,1961,2010,adm0
MUS,mauritius,1961,2010,adm0
MWI,malawi,1961,2010,adm0
MYS,malaysia,1961,2010,adm0
NAM,namibia,1961,2010,adm0
NCL,new_caledonia,1961,2010,adm0
NER,niger,1961,2010,adm0
NGA,nigeria,1961,2010,adm0
NIC,nicaragua,1961,2010,adm0
NIU,niue,1961,2010,adm0
NLD,netherlands,1961,2010,adm0
NOR,norway,1961,2010,adm0
