iso,min_year,max_year,level
AUS,1948,2008,adm1
BOL,1984,2010,adm1
CAN,1948,2010,adm1
CHL,1980,2010,adm1
COL,1995,2008,adm1
ECU,2000,2010,adm1
IDN,1993,2010,adm1
JPN,1975,2010,adm1
KHM,1990,2010,adm1
LKA,1979,2008,adm1
MMR,1990,2009,adm1
MYS,1993,2010,adm1
NGA,1994,2006,adm1
NIC,2000,2010,adm1
PHL,1987,2010,adm1
SYR,1985,2010,adm1
THA,1990,2008,adm1
VNM,1995,2010,adm1
ARG,1969,2010,adm2
AUT,1975,2009,adm2
BEL,1975,2009,adm2
BGR,1995,2009,adm2
BRA,1990,2010,adm2
CHN,1980,2003,adm2
CYP,1990,2006,adm2
CZE,1995,2009,adm2
DEU,1975,2004,adm2
DNK,2006,2009,adm2
ESP,1975,2006,adm2
EST,1990,2004,adm2
FIN,1992,2009,adm2
FRA,1975,2007,adm2
GBR,1975,2004,adm2
GRC,1977,2003,adm2
HUN,1995,2009,adm2
IND,1949,2005,adm2
IRL,1990,2009,adm2
ITA,1975,2007,adm2
LAO,2006,2010,adm2
LTU,1990,2008,adm2
LUX,1975,2006,adm2
LVA,1990,2004,adm2
MEX,1994,2010,adm2
MLT,1999,2000,adm2
NLD,1975,2009,adm2
POL,1995,2007,adm2
PRT,1980,2009,adm2
ROU,1995,2009,adm2
SVK,1995,2009,adm2
SVN,2007,2009,adm2
SWE,1988,2009,adm2
TUR,1995,2004,adm2
TZA,2003,2010,adm2
USA,1950,2008,adm2
