country_id,iso,name_engli,year_adm0covariates,year_adm1covariates
1,ABW,Aruba,1946-2016,1989-2016
2,AFG,Afghanistan,1946-2016,1989-2016
3,AGO,Angola,1946-2016,1989-2016
4,AIA,Anguilla,1946-2016,1989-2016
5,ALA,Ãland,1946-2016,1989-2016
6,ALB,Albania,1946-2016,1989-2016
7,AND,Andorra,1946-2016,1989-2016
8,ARE,United Arab Emirates,1946-2016,1989-2016
9,ARG,Argentina,1946-2016,1989-2016
10,ARM,Armenia,1946-2016,1989-2016
11,ASM,American Samoa,1946-2016,1989-2016
12,ATA,Antarctica,1946-2016,1989-2016
13,ATF,French Southern Territories,1946-2016,1989-2016
14,ATG,Antigua and Barbuda,1946-2016,1989-2016
15,AUS,Australia,1946-2016,1989-2016
16,AUT,Austria,1946-2016,1989-2016
17,AZE,Azerbaijan,1946-2016,1989-2016
18,BDI,Burundi,1946-2016,1989-2016
19,BEL,Belgium,1946-2016,1989-2016
20,BEN,Benin,1946-2016,1989-2016
21,BES,"Bonaire, Saint Eustatius and Saba",1946-2016,1989-2016
22,BFA,Burkina Faso,1946-2016,1989-2016
23,BGD,Bangladesh,1946-2016,1989-2016
24,BGR,Bulgaria,1946-2016,1989-2016
25,BHR,Bahrain,1946-2016,1989-2016
26,BHS,Bahamas,1946-2016,1989-2016
27,BIH,Bosnia and Herzegovina,1946-2016,1989-2016
28,BLM,Saint-BarthÃ©lemy,1946-2016,1989-2016
29,BLR,Belarus,1946-2016,1989-2016
30,BLZ,Belize,1946-2016,1989-2016
31,BMU,Bermuda,1946-2016,1989-2016
32,BOL,Bolivia,1946-2016,1989-2016
33,BRA,Brazil,1946-2016,1989-2016
34,BRB,Barbados,1946-2016,1989-2016
35,BRN,Brunei,1946-2016,1989-2016
36,BTN,Bhutan,1946-2016,1989-2016
37,BVT,Bouvet Island,1946-2016,1989-2016
38,BWA,Botswana,1946-2016,1989-2016
39,CAF,Central African Republic,1946-2016,1989-2016
40,CAN,Canada,1946-2016,1989-2016
41,CCK,Cocos Islands,1946-2016,1989-2016
42,CHE,Switzerland,1946-2016,1989-2016
43,CHL,Chile,1946-2016,1989-2016
44,CHN,China,1946-2016,1989-2016
45,CIV,CÃ´te d'Ivoire,1946-2016,1989-2016
46,CMR,Cameroon,1946-2016,1989-2016
47,COD,Democratic Republic of the Congo,1946-2016,1989-2016
48,COG,Republic of Congo,1946-2016,1989-2016
49,COK,Cook Islands,1946-2016,1989-2016
50,COL,Colombia,1946-2016,1989-2016
51,COM,Comoros,1946-2016,1989-2016
52,CPV,Cape Verde,1946-2016,1989-2016
53,CRI,Costa Rica,1946-2016,1989-2016
54,CUB,Cuba,1946-2016,1989-2016
55,CUW,CuraÃ§ao,1946-2016,1989-2016
56,CXR,Christmas Island,1946-2016,1989-2016
57,CYM,Cayman Islands,1946-2016,1989-2016
58,CYP,Cyprus,1946-2016,1989-2016
59,CZE,Czech Republic,1946-2016,1989-2016
60,DEU,Germany,1946-2016,1989-2016
60,FDE,West Germany,1946-2016,1989-2016
61,DJI,Djibouti,1946-2016,1989-2016
62,DMA,Dominica,1946-2016,1989-2016
63,DNK,Denmark,1946-2016,1989-2016
64,DOM,Dominican Republic,1946-2016,1989-2016
65,DZA,Algeria,1946-2016,1989-2016
66,ECU,Ecuador,1946-2016,1989-2016
67,EGY,Egypt,1946-2016,1989-2016
68,ERI,Eritrea,1946-2016,1989-2016
69,ESH,Western Sahara,1946-2016,1989-2016
70,ESP,Spain,1946-2016,1989-2016
71,EST,Estonia,1946-2016,1989-2016
72,ETH,Ethiopia,1946-2016,1989-2016
72,FET,Ethiopia,1946-2016,1989-2016
73,FIN,Finland,1946-2016,1989-2016
74,FJI,Fiji,1946-2016,1989-2016
75,FLK,Falkland Islands,1946-2016,1989-2016
76,FRA,France,1946-2016,1989-2016
77,FRO,Faroe Islands,1946-2016,1989-2016
78,FSD,South Sudan (Former),1946-2016,1989-2016
79,FSM,Micronesia,1946-2016,1989-2016
80,GAB,Gabon,1946-2016,1989-2016
81,GBR,United Kingdom,1946-2016,1989-2016
82,GEO,Georgia,1946-2016,1989-2016
83,GGY,Guernsey,1946-2016,1989-2016
84,GHA,Ghana,1946-2016,1989-2016
85,GIB,Gibraltar,1946-2016,1989-2016
86,GIN,Guinea,1946-2016,1989-2016
87,GLP,Guadeloupe,1946-2016,1989-2016
