iso,name,regionname,subregionname
"AGO","Angola","Africa","Sub-Saharan Africa"
"ALB","Albania","Europe","Southern Europe"
"ARE","United Arab Emirates","Asia","Western Asia"
"ARG","Argentina","Americas","Latin America and the Caribbean"
"ARM","Armenia","Asia","Western Asia"
"AUS","Australia","Oceania","Australia and New Zealand"
"AUT","Austria","Europe","Western Europe"
"AZE","Azerbaijan","Asia","Western Asia"
"BEL","Belgium","Europe","Western Europe"
"BEN","Benin","Africa","Sub-Saharan Africa"
"BGD","Bangladesh","Asia","Southern Asia"
"BGR","Bulgaria","Europe","Eastern Europe"
"BHR","Bahrain","Asia","Western Asia"
"BIH","Bosnia and Herzegovina","Europe","Southern Europe"
"BLR","Belarus","Europe","Eastern Europe"
"BOL","Bolivia (Plurinational State of)","Americas","Latin America and the Caribbean"
"BRA","Brazil","Americas","Latin America and the Caribbean"
"BRN","Brunei Darussalam","Asia","South-eastern Asia"
"BWA","Botswana","Africa","Sub-Saharan Africa"
"CAN","Canada","Americas","Northern America"
"CHE","Switzerland","Europe","Western Europe"
"CHL","Chile","Americas","Latin America and the Caribbean"
"CHN","China","Asia","Eastern Asia"
"CIV","Côte d'Ivoire","Africa","Sub-Saharan Africa"
"CMR","Cameroon","Africa","Sub-Saharan Africa"
"COD","Democratic Republic of the Congo","Africa","Sub-Saharan Africa"
"COG","Congo","Africa","Sub-Saharan Africa"
"COL","Colombia","Americas","Latin America and the Caribbean"
"CRI","Costa Rica","Americas","Latin America and the Caribbean"
"CUB","Cuba","Americas","Latin America and the Caribbean"
"CUW","Curaçao","Americas","Latin America and the Caribbean"
"CYP","Cyprus","Asia","Western Asia"
"CZE","Czechia","Europe","Eastern Europe"
"DEU","Germany","Europe","Western Europe"
"DNK","Denmark","Europe","Northern Europe"
"DOM","Dominican Republic","Americas","Latin America and the Caribbean"
"DZA","Algeria","Africa","Northern Africa"
"ECU","Ecuador","Americas","Latin America and the Caribbean"
"EGY","Egypt","Africa","Northern Africa"
"ERI","Eritrea","Africa","Sub-Saharan Africa"
"ESP","Spain","Europe","Southern Europe"
"EST","Estonia","Europe","Northern Europe"
"ETH","Ethiopia","Africa","Sub-Saharan Africa"
"FIN","Finland","Europe","Northern Europe"
"FRA","France","Europe","Western Europe"
"FSUND","Former Soviet Union","Europe/Asia","Eastern Europe/Central Asia"
"GAB","Gabon","Africa","Sub-Saharan Africa"
"GBR","United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe"
"GEO","Georgia","Asia","Western Asia"
"GHA","Ghana","Africa","Sub-Saharan Africa"
"GIB","Gibraltar","Europe","Southern Europe"
"GRC","Greece","Europe","Southern Europe"
"GTM","Guatemala","Americas","Latin America and the Caribbean"
"HKG","China, Hong Kong Special Administrative Region","Asia","Eastern Asia"
"HND","Honduras","Americas","Latin America and the Caribbean"
"HRV","Croatia","Europe","Southern Europe"
"HTI","Haiti","Americas","Latin America and the Caribbean"
"HUN","Hungary","Europe","Eastern Europe"
"IDN","Indonesia","Asia","South-eastern Asia"
"IND","India","Asia","Southern Asia"
"IRL","Ireland","Europe","Northern Europe"
"IRN","Iran (Islamic Republic of)","Asia","Southern Asia"
"IRQ","Iraq","Asia","Western Asia"
"ISL","Iceland","Europe","Northern Europe"
"ISR","Israel","Asia","Western Asia"
"ITA","Italy","Europe","Southern Europe"
"JAM","Jamaica","Americas","Latin America and the Caribbean"
"JOR","Jordan","Asia","Western Asia"
"JPN","Japan","Asia","Eastern Asia"
"KAZ","Kazakhstan","Asia","Central Asia"
"KEN","Kenya","Africa","Sub-Saharan Africa"
"KGZ","Kyrgyzstan","Asia","Central Asia"
"KHM","Cambodia","Asia","South-eastern Asia"
"KOR","Republic of Korea","Asia","Eastern Asia"
"KWT","Kuwait","Asia","Western Asia"
"LBN","Lebanon","Asia","Western Asia"
"LBY","Libya","Africa","Northern Africa"
"LKA","Sri Lanka","Asia","Southern Asia"
"LTU","Lithuania","Europe","Northern Europe"
"LUX","Luxembourg","Europe","Western Europe"
"LVA","Latvia","Europe","Northern Europe"
"MAR","Morocco","Africa","Northern Africa"
"MDA","Republic of Moldova","Europe","Eastern Europe"
"MEX","Mexico","Americas","Latin America and the Caribbean"
"MKD","The former Yugoslav Republic of Macedonia","Europe","Southern Europe"
"MLT","Malta","Europe","Southern Europe"
"MMR","Myanmar","Asia","South-eastern Asia"
"MNE","Montenegro","Europe","Southern Europe"
"MNG","Mongolia","Asia","Eastern Asia"
"MOZ","Mozambique","Africa","Sub-Saharan Africa"
"MYS","Malaysia","Asia","South-eastern Asia"
"NAM","Namibia","Africa","Sub-Saharan Africa"
"NER","Niger","Africa","Sub-Saharan Africa"
"NGA","Nigeria","Africa","Sub-Saharan Africa"
"NIC","Nicaragua","Americas","Latin America and the Caribbean"
"NLD","Netherlands","Europe","Western Europe"
"NOR","Norway","Europe","Northern Europe"
"NPL","Nepal","Asia","Southern Asia"
"NZL","New Zealand","Oceania","Australia and New Zealand"
"OMN","Oman","Asia","Western Asia"
"PAK","Pakistan","Asia","Southern Asia"
"PAN","Panama","Americas","Latin America and the Caribbean"
"PER","Peru","Americas","Latin America and the Caribbean"
"PHL","Philippines","Asia","South-eastern Asia"
"POL","Poland","Europe","Eastern Europe"
"PRK","Democratic People's Republic of Korea","Asia","Eastern Asia"
"PRT","Portugal","Europe","Southern Europe"
"PRY","Paraguay","Americas","Latin America and the Caribbean"
"QAT","Qatar","Asia","Western Asia"
"ROU","Romania","Europe","Eastern Europe"
"RUS","Russian Federation","Europe","Eastern Europe"
"SAU","Saudi Arabia","Asia","Western Asia"
"SDN","Sudan","Africa","Northern Africa"
"SEN","Senegal","Africa","Sub-Saharan Africa"
"SGP","Singapore","Asia","South-eastern Asia"
"SLV","El Salvador","Americas","Latin America and the Caribbean"
"SRB","Serbia","Europe","Southern Europe"
"SSD","South Sudan","Africa","Sub-Saharan Africa"
"SUR","Suriname","Americas","Latin America and the Caribbean"
"SVK","Slovakia","Europe","Eastern Europe"
"SVN","Slovenia","Europe","Southern Europe"
"SWE","Sweden","Europe","Northern Europe"
"SYR","Syrian Arab Republic","Asia","Western Asia"
"TGO","Togo","Africa","Sub-Saharan Africa"
"THA","Thailand","Asia","South-eastern Asia"
"TJK","Tajikistan","Asia","Central Asia"
"TKM","Turkmenistan","Asia","Central Asia"
"TTO","Trinidad and Tobago","Americas","Latin America and the Caribbean"
"TUN","Tunisia","Africa","Northern Africa"
"TUR","Turkey","Asia","Western Asia"
"TWN","Taiwan","Asia","Eastern Asia"
"TZA","United Republic of Tanzania","Africa","Sub-Saharan Africa"
"UKR","Ukraine","Europe","Eastern Europe"
"URY","Uruguay","Americas","Latin America and the Caribbean"
"USA","United States of America","Americas","Northern America"
"UZB","Uzbekistan","Asia","Central Asia"
"VEN","Venezuela (Bolivarian Republic of)","Americas","Latin America and the Caribbean"
"VNM","Viet Nam","Asia","South-eastern Asia"
"YEM","Yemen","Asia","Western Asia"
"YUGOND","Former Yugoslavia","Europe","Eastern Europe"
